crops,Country,Alpha-2 code,Alpha-3 code,Year,Area (1000 ha),Standard humidity (%),Main area (1000 ha),Production (1000 t),Yield (tonne/ha
C1100,Albania,AL,ALB,2000,112.0,14.0,,341.0,
C1100,Belgium,BE,BEL,2000,213.0,14.0,,1675.83,
C1100,Slovenia,SI,SVN,2000,38.26,14.0,,162.56,
C1100,Bulgaria,BG,BGR,2000,1121.8,14.0,,3485.52,
C1100,Sweden,SE,SWE,2000,401.2,14.0,,2371.99,
C1100,Turkey,TR,TUR,2000,9400.0,14.0,,21000.0,
C1100,Cyprus,CY,CYP,2000,6.2,14.0,,10.47,
C1100,Czechia,CZ,CZE,2000,970.4,14.0,,4084.1,
C1100,Germany,DE,DEU,2000,2968.9,14.0,,21621.5,
C1100,Romania,RO,ROU,2000,1940.2,14.0,,4434.44,2.29
C1100,Denmark,DK,DNK,2000,619.2,14.0,,4638.83,
C1100,Portugal,PT,PRT,2000,226.25,14.0,,367.08,1.62
C1100,Estonia,EE,EST,2000,68.9,14.0,,146.8,
C1100,Greece,EL,GRC,2000,829.29,14.0,,1941.0,2.34
C1100,Poland,PL,POL,2000,2635.1,14.0,,8502.9,
C1100,Spain,ES,ESP,2000,2353.0,14.0,,7463.22,
C1100,Finland,FI,FIN,2000,149.5,14.0,,535.17,3.59
C1100,Norway,NO,NOR,2000,68.0,14.0,,309.76,
C1100,France,FR,FRA,2000,5248.4,14.0,,36919.06,
C1100,Croatia,HR,HRV,2000,182.33,14.0,,875.32,4.75
C1100,Netherlands,NL,NLD,2000,136.7,14.0,,1116.13,
C1100,Hungary,HU,HUN,2000,1024.4,14.0,,3671.0,
C1100,Ireland,IE,IRL,2000,78.0,14.0,,686.81,8.85
C1100,North Macedonia,MK,MKD,2000,122.0,14.0,,302.48,
C1100,United Kingdom,UK,GBR,2000,2086.0,14.0,,16602.91,
C1100,Italy,IT,ITA,2000,2321.9,14.0,,7341.23,
C1100,Lithuania,LT,LTU,2000,370.4,14.0,,1237.6,
C1100,Luxembourg,LU,LUX,2000,11.0,14.0,,60.49,
C1100,Bosnia and Herzegovina,BA,BIH,2000,103.59,14.0,,339.99,
C1100,Slovakia,SK,SVK,2000,406.4,14.0,,1254.3,
C1100,Latvia,LV,LVA,2000,158.1,14.0,,427.4,2.7
C1100,Austria,AT,AUT,2000,293.8,14.0,,1305.37,
C1100,Turkey,TR,TUR,2001,9350.0,14.0,,19000.0,
C1100,Ireland,IE,IRL,2001,84.9,14.0,,728.95,8.62
C1100,Norway,NO,NOR,2001,63.6,14.0,,256.09,
C1100,North Macedonia,MK,MKD,2001,118.0,14.0,,248.86,
C1100,Slovenia,SI,SVN,2001,39.34,14.0,,181.08,
C1100,Sweden,SE,SWE,2001,398.6,14.0,,2317.53,
C1100,Bulgaria,BG,BGR,2001,1355.5,14.0,,4191.29,
C1100,United Kingdom,UK,GBR,2001,1635.0,14.0,,11512.67,
C1100,Albania,AL,ALB,2001,100.0,14.0,,282.2,
C1100,Latvia,LV,LVA,2001,166.8,14.0,,451.7,2.71
C1100,Belgium,BE,BEL,2001,181.0,14.0,,1447.23,
C1100,Romania,RO,ROU,2001,2546.26,14.0,,7735.14,3.04
C1100,Germany,DE,DEU,2001,2897.2,14.0,,22837.8,
C1100,Estonia,EE,EST,2001,59.6,14.0,,134.45,
C1100,Luxembourg,LU,LUX,2001,9.8,14.0,,53.37,
C1100,Lithuania,LT,LTU,2001,352.2,14.0,,1076.3,
C1100,Spain,ES,ESP,2001,2177.0,14.0,,5124.16,
C1100,France,FR,FRA,2001,4766.6,14.0,,31173.55,
C1100,Denmark,DK,DNK,2001,634.0,14.0,,4609.67,
C1100,Netherlands,NL,NLD,2001,124.3,14.0,,967.66,
C1100,Poland,PL,POL,2001,2627.0,14.0,,9175.06,
C1100,Cyprus,CY,CYP,2001,5.4,14.0,,10.99,
C1100,Austria,AT,AUT,2001,287.7,14.0,,1499.53,
C1100,Italy,IT,ITA,2001,2289.4,14.0,,6338.73,
C1100,Portugal,PT,PRT,2001,183.49,14.0,,158.96,0.87
C1100,Finland,FI,FIN,2001,144.6,14.0,,486.06,3.4
C1100,Greece,EL,GRC,2001,931.08,14.0,,1908.25,2.05
C1100,Czechia,CZ,CZE,2001,923.2,14.0,,4476.1,
C1100,Hungary,HU,HUN,2001,1205.6,14.0,,5166.55,
C1100,Bosnia and Herzegovina,BA,BIH,2001,108.71,14.0,,258.19,
C1100,Slovakia,SK,SVK,2001,446.6,14.0,,1800.0,
C1100,Croatia,HR,HRV,2001,184.27,14.0,,821.11,4.45
C1100,Turkey,TR,TUR,2002,9281.3,14.0,,19500.0,
C1100,France,FR,FRA,2002,5230.3,14.0,,38480.69,
C1100,Bulgaria,BG,BGR,2002,1368.6,14.0,,4195.67,
C1100,North Macedonia,MK,MKD,2002,101.0,14.0,,270.1,
